Place_id,Title,Category,Distance,Rating,Closed,Timing,Price
TB-37,Cosmos Mall,Shopping,21,4.2825,Nil,11:00-21:00,1001
TB-38,The Collection[192],Shopping,30,4.285,Nil,11:00-21:00,1223
TB-39,Mantri Square,Shopping,12,4.2875,Nil,11:00-21:00,650
TB-40,Sigma Mall,Shopping,26,4.29,Nil,11:00-21:00,1346
TB-41,Royal Meenakshi Mall,Shopping,16,4.2925,Nil,11:00-21:00,1432
TB-42,Jalsa,Food,17,3,Nil,9:30–17:00,568
TB-43,Spice Elephant,Food,23,2,Nil,9:30–17:01,1150
TB-44,San Churro Cafe,Food,20,2,Nil,9:30–17:02,574
TB-45,Addhuri Udupi Bhojana,Food,1,2,Nil,9:30–17:03,1146
TB-46,Grand Village,Food,26,3,Nil,9:30–17:04,1100
TB-47,Timepass Dinner,Food,19,3,Nil,9:30–17:05,1629
TB-48,Rosewood International Hotel - Bar & Restaurant,Food,25,5,Nil,9:30–17:06,1018
TB-49,Onesta,Food,20,2,Nil,9:30–17:07,613
TB-50,Penthouse Cafe,Food,26,2,Nil,9:30–17:08,552
TB-51,,Food,8,1,Nil,9:30–17:09,1236
TB-52,Smacznego,Food,27,3,Nil,9:30–17:10,630
TB-53,CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Down The Alley,Food,28,3,Nil,9:30–17:11,569
TB-54,Cafe Shuffle,Food,0,4,Nil,9:30–17:12,578
TB-55,The Coffee Shack,Food,28,4,Nil,9:30–17:13,967
TB-56,Caf-Eleven,Food,21,5,Nil,9:30–17:14,937
TB-57,San Churro Cafe,Food,12,5,Nil,9:30–17:15,1015
TB-58,Cafe Vivacity,Food,23,2,Nil,9:30–17:16,1011
TB-59,Catch-up-ino,Food,15,2,Nil,9:30–17:17,1707
TB-60,Kirthi's Biryani,Food,22,4,Nil,9:30–17:18,1584
TB-61,T3H Cafe,Food,2,5,Nil,9:30–17:19,615
TB-62,360 Atoms Restaurant And Cafe,Food,14,1,Nil,9:30–17:20,652
TB-63,The Vintage Cafe,Food,29,4,Nil,9:30–17:21,1064
TB-64,Woodee Pizza,Food,25,2,Nil,9:30–17:22,625
TB-65,Cafe Coffee Day,Food,20,4,Nil,9:30–17:23,1061
TB-66,My Tea House,Food,27,1,Nil,9:30–17:24,1108
TB-67,Hide Out Cafe,Food,1,4,Nil,9:30–17:25,1221
TB-68,CAFE NOVA,Food,0,4,Nil,9:30–17:26,776
TB-69,Coffee Tindi,Food,25,5,Nil,9:30–17:27,1284
TB-70,Sea Green Cafe,Food,8,1,Nil,9:30–17:28,575
TB-71,Cuppa,Food,19,3,Nil,9:30–17:29,1279
TB-72,Srinathji's Cafe,Food,17,5,Nil,9:30–17:30,1740
TB-73,Redberrys,Food,17,5,Nil,9:30–17:31,1379
TB-74,Foodiction,Food,29,5,Nil,9:30–17:32,1684
TB-75,,Food,22,2,Nil,9:30–17:33,530
TB-76,Sweet Truth,Food,3,3,Nil,9:30–17:34,1569
TB-77,Ovenstory Pizza,Food,1,2,Nil,9:30–17:35,1394
TB-78,Faasos,Food,29,1,Nil,9:30–17:36,725
TB-79,,Food,12,5,Nil,9:30–17:37,1637
TB-80, Will Recommend To Everyone.\n\nCheers!!'),Food,19,4,Nil,9:30–17:38,766
TB-81,Behrouz Biryani,Food,12,5,Nil,9:30–17:39,1258
TB-82,Fast And Fresh,Food,6,1,Nil,9:30–17:40,1623
TB-83,Szechuan Dragon,Food,27,4,Nil,9:30–17:41,1385
TB-84,Empire Restaurant,Food,18,1,Nil,9:30–17:42,1160
TB-85,,Food,1,4,Nil,9:30–17:43,1206
TB-86,Maruthi Davangere Benne Dosa,Food,5,4,Nil,9:30–17:44,1796
TB-87,Chaatimes,Food,5,1,Nil,9:30–17:45,745
TB-88,Havyaka Mess,Food,20,5,Nil,9:30–17:46,530
TB-89,McDonald's,Food,16,1,Nil,9:30–17:47,929
TB-90,Domino's Pizza,Food,27,4,Nil,9:30–17:48,1461
TB-91,Onesta,Food,1,4,Nil,9:30–17:49,665
TB-92,,Food,21,1,Nil,9:30–17:50,1177
TB-93,Hotboxit,Food,15,3,Nil,9:30–17:51,770
TB-94,Kitchen Garden,Food,18,1,Nil,9:30–17:52,636
TB-95,Recipe,Food,10,4,Nil,9:30–17:53,1148
TB-96,Beijing Bites,Food,8,2,Nil,9:30–17:54,1486
TB-97,Tasty Bytes,Food,12,2,Nil,9:30–17:55,719
TB-98,Petoo,Food,11,1,Nil,9:30–17:56,579
TB-99,Shree Cool Point,Food,5,1,Nil,9:30–17:57,1507
TB-100,Corner House Ice Cream,Food,15,5,Nil,9:30–17:58,639
TB-101,Biryanis And More,Food,10,2,Nil,9:30–17:59,1705
TB-102,Roving Feast,Food,11,1,Nil,9:30–17:60,656
TB-103,FreshMenu,Food,25,4,Nil,9:30–17:61,1653
TB-104,Banashankari Donne Biriyani,Food,2,1,Nil,9:30–17:62,1286
TB-105,Wamama,Food,22,2,Nil,9:30–17:63,1488
TB-106,,Food,19,3,Nil,9:30–17:64,1668
TB-107, ('Rated 4.0',Food,16,2,Nil,9:30–17:65,754
TB-108,Five Star Chicken,Food,12,4,Nil,9:30–17:66,1357
TB-109,XO Belgian Waffle,Food,26,2,Nil,9:30–17:67,1303
TB-110,Peppy Peppers,Food,7,4,Nil,9:30–17:68,631
TB-111,,Food,28,4,Nil,9:30–17:69,908
TB-112, this was amazing,Food,30,4,Nil,9:30–17:70,906
TB-113,Goa 0 Km,Food,11,1,Nil,9:30–17:71,767
TB-114,Chinese Kitchen,Food,10,1,Nil,9:30–17:72,1110
TB-115,1947,Food,19,2,Nil,9:30–17:73,1137
TB-116,Cake of the Day,Food,5,2,Nil,9:30–17:74,797
TB-117,Kabab Magic,Food,28,2,Nil,9:30–17:75,1675
TB-118,Namma Brahmin's Idli,Food,23,3,Nil,9:30–17:76,1175
TB-119,Gustoes Beer House,Food,18,3,Nil,9:30–17:77,825
TB-120,Sugar Rush,Food,28,5,Nil,9:30–17:78,1206
TB-121,Burger King,Food,24,4,Nil,9:30–17:79,506
TB-122,The Good Bowl,Food,21,2,Nil,9:30–17:80,1713
TB-123,The Biryani Cafe,Food,25,1,Nil,9:30–17:81,913
TB-124,Spicy Tandoor,Food,19,2,Nil,9:30–17:82,1764
TB-125,LSD Cafe,Food,23,3,Nil,9:30–17:83,1434
TB-126,,Food,29,1,Nil,9:30–17:84,935
TB-127, 'RATED\n  Best Delivery Restaurants that serve late at night. Ordered #ChickenChanghezi and the quantity was sufficient for two person. It was delivered before time and it was absolute yummy. Will order again soon.. Pretty Soon'),Food,26,3,Nil,9:30–17:85,1429
TB-128,Rolls On Wheels,Food,16,2,Nil,9:30–17:86,1470
TB-129,Om Sri Vinayaka Chats,Food,5,2,Nil,9:30–17:87,1652
TB-130,Sri Guru Kottureshwara Davangere Benne Dosa,Food,16,4,Nil,9:30–17:88,1581
TB-131,Devanna Dum Biriyani Centre,Food,12,5,Nil,9:30–17:89,1173
TB-132,Kolbeh,Food,28,3,Nil,9:30–17:90,1039
TB-133,Upahar Sagar,Food,13,2,Nil,9:30–17:91,953
TB-134,Kadalu Sea Food Restaurant,Food,2,5,Nil,9:30–17:92,785
TB-135,Frozen Bottle,Food,2,4,Nil,9:30–17:93,524
TB-136,Parimala Sweets,Food,3,3,Nil,9:30–17:94,1685
TB-137,Vaishali Deluxe,Food,6,1,Nil,9:30–17:95,1215
TB-138,Chill Out,Food,13,2,Nil,9:30–17:96,869
TB-139,The Big O Bakes,Food,3,4,Nil,9:30–17:97,1156
TB-140,Meghana Foods,Food,30,3,Nil,9:30–17:98,1780
TB-141,Krishna Sagar,Food,4,3,Nil,9:30–17:99,1515
TB-142,Dessert Rose,Food,9,4,Nil,9:30–17:100,1101
TB-143,Chickpet Donne Biryani House,Food,11,2,Nil,9:30–17:101,1167
TB-144,Me And My Cake,Food,19,1,Nil,9:30–17:102,1561
TB-145,Sunsadm,Food,22,5,Nil,9:30–17:103,958
TB-146,Annapooraneshwari Mess,Food,30,3,Nil,9:30–17:104,1206
TB-147,Thanco's Natural Ice Creams,Food,19,2,Nil,9:30–17:105,543
TB-148,Nandhini Deluxe,Food,10,1,Nil,9:30–17:106,1514
TB-149,Vi Ra's Bar and Restaurant,Food,10,4,Nil,9:30–17:107,1610
TB-150,Kaggis,Food,24,3,Nil,9:30–17:108,1219
TB-151,Ayda Persian Kitchen,Food,29,1,Nil,9:30–17:109,514
TB-152,Chatar Patar,Food,11,2,Nil,9:30–17:110,834
TB-153,Polar Bear,Food,9,3,Nil,9:30–17:111,745
TB-154,Kidambi's Kitchen,Food,12,1,Nil,9:30–17:112,788
TB-155,Mane Thindi,Food,26,5,Nil,9:30–17:113,1688
TB-156,Kotian Karavali Restaurant,Food,29,5,Nil,9:30–17:114,935
TB-157,Floured-Baked With Love,Food,10,1,Nil,9:30–17:115,842
TB-158,CAFE NOVA,Food,19,3,Nil,9:30–17:116,1052
TB-159,Cakes & Slices,Food,8,5,Nil,9:30–17:117,852
TB-160,Spice 9,Food,24,2,Nil,9:30–17:118,1231
TB-161,Coffee Shopee,Food,12,4,Nil,9:30–17:119,1419
TB-162,Naveen Kabab & Biriyani Mane,Food,23,4,Nil,9:30–17:120,1729
TB-163,Katriguppe Donne Biryani,Food,7,3,Nil,9:30–17:121,830
TB-164,Hari Super Sandwich,Food,8,1,Nil,9:30–17:122,1655
TB-165,Atithi Point Ande Ka Funda,Food,6,1,Nil,9:30–17:123,1551
TB-166,Just Bake,Food,15,5,Nil,9:30–17:124,1477
TB-167,Dharwad Line Bazaar Mishra Pedha,Food,10,3,Nil,9:30–17:125,1703
TB-168,Cake Bite,Food,17,5,Nil,9:30–17:126,523
TB-169,Aarush's Food Plaza,Food,12,4,Nil,9:30–17:127,853
TB-170,Wood Stove,Food,29,3,Nil,9:30–17:128,586
TB-171,Kulfi & More,Food,27,1,Nil,9:30–17:129,1501
TB-172,Kannadigas Karavali,Food,21,5,Nil,9:30–17:130,908
TB-173,K27 - The Pub,Food,5,1,Nil,9:30–17:131,1755
TB-174,Bengaluru Coffee House,Food,1,4,Nil,9:30–17:132,1529
TB-175,New Mangalore Lunch Home,Food,9,4,Nil,9:30–17:133,1683
TB-176,Coffee Bytes,Food,5,2,Nil,9:30–17:134,1287
TB-177,Parjanya Chat Zone,Food,28,3,Nil,9:30–17:135,1704
TB-178,Kwality Wall's Swirl's Happiness Station,Food,16,4,Nil,9:30–17:136,1136
TB-179,Soms Kitchen & Bakes,Food,17,1,Nil,9:30–17:137,1800
TB-180,Banashankari Nati Style,Food,1,5,Nil,9:30–17:138,1471
TB-181,Ruchi Maayaka,Food,5,3,Nil,9:30–17:139,1609
TB-182,Mohitesh Hut Roll,Food,10,3,Nil,9:30–17:140,846
TB-183,Sri Basaveshwar Jolada Rotti Oota,Food,17,2,Nil,9:30–17:141,1037
TB-184,Roll Magic Fast Food,Food,13,1,Nil,9:30–17:142,514
TB-185,Foodlieious Multi Cuisine,Food,14,2,Nil,9:30–17:143,1122
TB-186,Thanishka Nati And Karavali Style,Food,15,2,Nil,9:30–17:144,1415
TB-187,Swathi Cool Point,Food,11,2,Nil,9:30–17:145,1448
TB-188,Kaumudis Juoice,Food,1,1,Nil,9:30–17:146,1543
TB-189,Amma - Manae,Food,22,4,Nil,9:30–17:147,1594
TB-190,Sri Sai Tiffannies,Food,18,2,Nil,9:30–17:148,1396
TB-191,Hotel Andhra Speices,Food,29,2,Nil,9:30–17:149,722
TB-192,Sri Murari Family Restaurant,Food,1,1,Nil,9:30–17:150,640
TB-193,Aramane Donne Biriyani,Food,20,2,Nil,9:30–17:151,1270
TB-194,Darkolates,Food,20,2,Nil,9:30–17:152,1319
TB-195,Swaada Healthy Kitchen,Food,14,4,Nil,9:30–17:153,1595
TB-196,Gawdaru Mane Beriyani,Food,26,3,Nil,9:30–17:154,1194
TB-197,Melting Melodies,Food,23,5,Nil,9:30–17:155,1292
TB-198,New Indraprasta,Food,19,4,Nil,9:30–17:156,1060
TB-199,Anna Kuteera,Food,15,2,Nil,9:30–17:157,1769
TB-200,Darbar,Food,30,2,Nil,9:30–17:158,1441
TB-201,Vijayalakshmi,Food,3,5,Nil,9:30–17:159,731
TB-202,Sri Udupi Food Hub,Food,5,3,Nil,9:30–17:160,868
TB-203,Udupi Upahar,Food,0,3,Nil,9:30–17:161,908
TB-204,House Of Kebabs,Food,22,1,Nil,9:30–17:162,1029
TB-205,Roll N Rock,Food,19,2,Nil,9:30–17:163,1564
TB-206,BOX8- Desi Meals,Food,14,1,Nil,9:30–17:164,1285
TB-207,KFC,Food,26,2,Nil,9:30–17:165,1454
TB-208,Bitez,Food,21,4,Nil,9:30–17:166,529
TB-209,Roll Over,Food,3,3,Nil,9:30–17:167,1337
TB-210,Imperial Restaurant,Food,12,3,Nil,9:30–17:168,1212
TB-211,Lassi Shop,Food,0,4,Nil,9:30–17:169,620
TB-212,The Fortuna,Food,18,5,Nil,9:30–17:170,891
TB-213,Wahab,Food,19,4,Nil,9:30–17:171,1083
TB-214,Al Diwan Biryanis And More,Food,23,3,Nil,9:30–17:172,1103
TB-215,New Gowda's Fried Chicken,Food,0,4,Nil,9:30–17:173,1733
TB-216,Canton,Food,9,4,Nil,9:30–17:174,1435
TB-217,Diabetics Dezire Sugarless Sweets and Bakes,Food,24,3,Nil,9:30–17:175,1274
TB-218,The Blue Wagon - Kitchen,Food,8,4,Nil,9:30–17:176,1498
TB-219,HOT COFFEE,Food,0,1,Nil,9:30–17:177,1355
TB-220,Patio 805,Food,20,4,Nil,9:30–17:178,1600
TB-221,Lassi Corner,Food,0,4,Nil,9:30–17:179,984
TB-222,Sagar Deluxe,Food,18,5,Nil,9:30–17:180,943
TB-223,Kanti Sweets,Food,13,2,Nil,9:30–17:181,1281
TB-224,Vegetalia,Food,2,5,Nil,9:30–17:182,844
TB-225,Aramane Donne Biryani,Food,30,5,Nil,9:30–17:183,1610
TB-226,Ande Ka Funda,Food,26,2,Nil,9:30–17:184,963
TB-227,Cake Ghar,Food,16,2,Nil,9:30–17:185,1692
TB-228,Energy Addaa,Food,12,4,Nil,9:30–17:186,1182
TB-229,Bhattara Bhojana,Food,19,4,Nil,9:30–17:187,1270
TB-230,Tandoori Knight,Food,28,5,Nil,9:30–17:188,600
TB-231,Dev Sagar - Food Street,Food,21,3,Nil,9:30–17:189,1198
TB-232,Mitraa Da Pizza,Food,18,5,Nil,9:30–17:190,1612
TB-233,Paradise Premium,Food,27,5,Nil,9:30–17:191,1663
TB-234,Grazers,Food,4,2,Nil,9:30–17:192,1081
TB-235,Shakes Theory,Food,20,1,Nil,9:30–17:193,576
TB-236,@Italy,Food,17,3,Nil,9:30–17:194,1516
TB-237,Chilli Flakes,Food,23,3,Nil,9:30–17:195,639
TB-238,Calcutta Cafe,Food,0,1,Nil,9:30–17:196,1482
TB-239,Old Mumbai Ice Cream,Food,18,4,Nil,9:30–17:197,1606
TB-240,Donne Biriyani House,Food,6,4,Nil,9:30–17:198,1331
TB-241,By 2 Coffee,Food,24,4,Nil,9:30–17:199,1034
TB-242,Kedia's Fun Food,Food,5,1,Nil,9:30–17:200,1006
TB-243,Davangere Butter Dosa Hotel,Food,17,2,Nil,9:30–17:201,1241
TB-244,Just Shawarma,Food,30,1,Nil,9:30–17:202,1513
TB-245,Mini Punjabi Dhaba,Food,29,5,Nil,9:30–17:203,1688
TB-246,Mulabagilu Dosa,Food,10,1,Nil,9:30–17:204,1598
TB-247,CafÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚ÂƒÃƒÂƒÃ‚ÂƒÃƒÂ‚Ã‚Â‚ÃƒÂƒÃ‚Â‚ÃƒÂ‚Ã‚Â© Down The Alley,Food,9,5,Nil,9:30–17:205,1151
TB-248,Gokul Veg,Food,22,3,Nil,9:30–17:206,708
TB-249,Olive - Era,Food,0,5,Nil,9:30–17:207,680
TB-250,Udupi Ruchi,Food,1,3,Nil,9:30–17:208,1014
TB-251,Madhappa Hindu Military Hotel,Food,22,1,Nil,9:30–17:209,806
TB-252,Gama Gama,Food,9,5,Nil,9:30–17:210,1497
TB-253,The Vintage Cafe,Food,23,5,Nil,9:30–17:211,708
TB-254,Pizza Hut,Food,6,1,Nil,9:30–17:212,1444
TB-255,Mangalore Pearl,Food,0,2,Nil,9:30–17:213,1003
TB-256,Asha Sweets Centre,Food,0,5,Nil,9:30–17:214,1102
TB-257,Twiststick House,Food,3,5,Nil,9:30–17:215,616
TB-258,Cool Corner,Food,19,2,Nil,9:30–17:216,880
TB-259,Pizza Mane,Food,14,5,Nil,9:30–17:217,881
TB-260,Dal Tadkaa,Food,14,2,Nil,9:30–17:218,924
TB-261,,Food,11,2,Nil,9:30–17:219,734
TB-262," """"RATED\n  The buffet is inr 330 pp all incl. But the quality is very mediocre",Food,9,3,Nil,9:30–17:220,1447
TB-263,Chutney Chang,Food,10,3,Nil,9:30–17:221,1482
TB-264,Mystique Palate,Food,8,3,Nil,9:30–17:222,646
TB-265,Thamboola,Food,18,5,Nil,9:30–17:223,1752
TB-266,Castle Rock,Food,27,1,Nil,9:30–17:224,1314
TB-267,Vietnamese Kitchen,Food,5,2,Nil,9:30–17:225,875
TB-268,Smacznego,Food,18,2,Nil,9:30–17:226,1173
TB-269,C Corner,Food,6,5,Nil,9:30–17:227,1475
TB-270,Paratha Merchant,Food,12,3,Nil,9:30–17:228,1595
TB-271,North Rasoe,Food,25,1,Nil,9:30–17:229,1416
TB-272,Inchara Restaurant,Food,7,2,Nil,9:30–17:230,1099
TB-273,Toscano,Food,18,1,Nil,9:30–17:231,911
TB-274,Lord Of The Kitchen,Food,16,5,Nil,9:30–17:232,778
TB-275,Stoned Monkey,Food,13,2,Nil,9:30–17:233,919
TB-276,Central Jail Restaurant,Food,28,5,Nil,9:30–17:234,1415
TB-277,Bella,Food,28,3,Nil,9:30–17:235,611
TB-278,Vennela Andhra Meals,Food,29,2,Nil,9:30–17:236,686
TB-279,New Prashanth Hotel,Food,9,2,Nil,9:30–17:237,693
TB-280,The Grillo,Food,12,2,Nil,9:30–17:238,1651
TB-281,Re Malnad Nati Style Hotel,Food,18,5,Nil,9:30–17:239,1185
TB-282,Karma Kaapi,Food,23,5,Nil,9:30–17:240,958
TB-283,Tiwari's,Food,19,3,Nil,9:30–17:241,1661
TB-284,Pizza Stop,Food,13,5,Nil,9:30–17:242,1693
TB-285,Biggies Burger 'n' More,Food,11,2,Nil,9:30–17:243,1738
TB-286,Srinathji's Cafe,Food,23,2,Nil,9:30–17:244,749
TB-287,Kollapuri's,Food,0,5,Nil,9:30–17:245,512
TB-288,Sugar Stars Co,Food,5,4,Nil,9:30–17:246,1544
TB-289,Bombay Kulfis,Food,7,2,Nil,9:30–17:247,1526
TB-290,Kadamba Classic,Food,17,4,Nil,9:30–17:248,1295
TB-291,RS Shiv Sagar,Food,11,5,Nil,9:30–17:249,1112
TB-292,Kholi Mane,Food,7,4,Nil,9:30–17:250,1252
TB-293,Harshi Super Sandwich,Food,19,5,Nil,9:30–17:251,518
TB-294,Cake Yard,Food,2,1,Nil,9:30–17:252,608
TB-295,Rosewood International Hotel - Bar & Restaurant,Food,24,4,Nil,9:30–17:253,1613
TB-296,Sri Udupi Veg,Food,8,3,Nil,9:30–17:254,633
TB-297,Cake Art,Food,22,4,Nil,9:30–17:255,1159
TB-298,Aahar Cafe,Food,4,4,Nil,9:30–17:256,1740
TB-299,Akash Gowdru Biryani Center,Food,7,3,Nil,9:30–17:257,804
TB-300,New Sri Udupi Restaurant,Food,9,1,Nil,9:30–17:258,1051
TB-301,Potato House,Food,1,1,Nil,9:30–17:259,1014
TB-302,Hotel Biriyani Counter,Food,17,2,Nil,9:30–17:260,1544
TB-303,Matru Sagar,Food,26,5,Nil,9:30–17:261,559
TB-304,Ugadi,Food,17,4,Nil,9:30–17:262,1472
TB-305,,Food,30,4,Nil,9:30–17:263,1463
TB-306," """"RATED\n  The food here is just about an average",Food,4,4,Nil,9:30–17:264,1077
TB-307,Sri Krishna Sweets,Food,22,5,Nil,9:30–17:265,1307
TB-308,In Time Cane Juice,Food,8,5,Nil,9:30–17:266,942
TB-309,Subway,Food,0,1,Nil,9:30–17:267,803
TB-310,Daal Roti,Food,20,3,Nil,9:30–17:268,1639
TB-311,The Lassi Park,Food,14,4,Nil,9:30–17:269,1504
TB-312,Cafe Coffee Day,Food,0,2,Nil,9:30–17:270,1404
TB-313,A2B - Adyar Ananda Bhavan,Food,21,2,Nil,9:30–17:271,1386
TB-314,Srikrishna Bhavan,Food,2,3,Nil,9:30–17:272,1403
TB-315,Timepass Dinner,Food,19,4,Nil,9:30–17:273,900
TB-316,Green Gardenia,Food,25,2,Nil,9:30–17:274,663
TB-317,J Spice,Food,16,5,Nil,9:30–17:275,1375
TB-318,Karavali Family Restaurant,Food,19,5,Nil,9:30–17:276,1014
TB-319,Karavali Lunch Home,Food,10,4,Nil,9:30–17:277,845
TB-320,Hatti Kaapi,Food,2,3,Nil,9:30–17:278,857
TB-321,Kolkata Kathi Roll's,Food,21,1,Nil,9:30–17:279,1458
TB-322,Upahara Darshini,Food,13,2,Nil,9:30–17:280,610
TB-323,The Chaat Shop,Food,7,3,Nil,9:30–17:281,1024
TB-324,Anda Ka Funda,Food,5,3,Nil,9:30–17:282,709
TB-325,Shri Vinayaka Ice N Juice,Food,12,4,Nil,9:30–17:283,651
TB-326,My Tea House,Food,7,2,Nil,9:30–17:284,718
TB-327,Ibaco,Food,5,1,Nil,9:30–17:285,1721
TB-328,Jalaram Sweets,Food,24,3,Nil,9:30–17:286,1772
TB-329,Samskruti - Sanman Gardenia,Food,15,2,Nil,9:30–17:287,1409
TB-330,Bendakaluru Bytes,Food,22,4,Nil,9:30–17:288,1554
TB-331,Cocoa Bakes,Food,24,3,Nil,9:30–17:289,1100
TB-332,Chumma Delicious,Food,23,4,Nil,9:30–17:290,1676
TB-333,New Prashanth Hotel,Food,25,2,Nil,9:30–17:291,1619
TB-334,SSV Upahar,Food,19,1,Nil,9:30–17:292,750
TB-335,Dwaraka Grand,Food,4,3,Nil,9:30–17:293,1213
TB-336,Gufha - The President Hotel,Food,19,1,Nil,9:30–17:294,749
TB-337,Cafe Vivacity,Food,19,5,Nil,9:30–17:295,1768
TB-338,Tanna's Kitchen,Food,22,3,Nil,9:30–17:296,709
TB-339,Shree Mandarathi Grand,Food,26,1,Nil,9:30–17:297,1462
TB-340,Mojo Pizza - 2X Toppings,Food,23,5,Nil,9:30–17:298,906
TB-341,Iceberg Icecreams,Food,1,4,Nil,9:30–17:299,1379
TB-342,South Kitchen,Food,4,5,Nil,9:30–17:300,885
TB-343,Chung Wah,Food,23,2,Nil,9:30–17:301,725
TB-344,Shanthi Sagar,Food,28,1,Nil,9:30–17:302,1608
TB-345,Millet Mama,Food,1,2,Nil,9:30–17:303,633
TB-346,Bangarpet Chat Express,Food,19,4,Nil,9:30–17:304,1674
TB-347,South Cool Point,Food,7,2,Nil,9:30–17:305,1726
TB-348,Prems Graama Bhojanam,Food,28,5,Nil,9:30–17:306,593
TB-349,Java City,Food,30,5,Nil,9:30–17:307,1095
TB-350,Kamat Bugle Rock,Food,22,2,Nil,9:30–17:308,1774
TB-351,Woodee Pizza,Food,1,3,Nil,9:30–17:309,1616
TB-352,Puliyogare Point,Food,27,5,Nil,9:30–17:310,1416
TB-353,Bangalore Agarwal Bhavan,Food,9,1,Nil,9:30–17:311,839
TB-354,Rustic Stove,Food,17,1,Nil,9:30–17:312,846
TB-355,Udupi Ruchi Grand,Food,30,1,Nil,9:30–17:313,1191
TB-356,De Thaali,Food,2,2,Nil,9:30–17:314,1155
TB-357,Spice Elephant,Food,7,1,Nil,9:30–17:315,523
TB-358,Just Thindi,Food,23,1,Nil,9:30–17:316,1429
TB-359,Matru Sagar,Food,7,3,Nil,9:30–17:317,1184
TB-360,Vasanth Vihar - Since 1965,Food,28,3,Nil,9:30–17:318,913
TB-361,Sea Spice by 7 Star,Food,29,5,Nil,9:30–17:319,714
TB-362,Desi Dawat,Food,7,5,Nil,9:30–17:320,645
TB-363,Cafe Aira,Food,23,3,Nil,9:30–17:321,1023
TB-364,Donne Biriyani combos,Food,26,1,Nil,9:30–17:322,562
TB-365,Penthouse Cafe,Food,11,5,Nil,9:30–17:323,1441
TB-366,Mast Punjabi,Food,8,5,Nil,9:30–17:324,527
